roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
4,Kelly (D-AZ),Mark,Kelly,D,AZ,S406,Yea
4,Kennedy (R-LA),John,Kennedy,R,LA,S389,Yea
4,King (I-ME),Angus,King,I,ME,S363,Yea
4,Klobuchar (D-MN),Amy,Klobuchar,D,MN,S311,Yea
4,Lankford (R-OK),James,Lankford,R,OK,S378,Yea
4,Lee (R-UT),Mike,Lee,R,UT,S346,Yea
4,Lujan (D-NM),Ben,Lujan,D,NM,S409,Yea
4,Lummis (R-WY),Cynthia,Lummis,R,WY,S410,Yea
4,Manchin (D-WV),Joseph,Manchin,D,WV,S338,Yea
4,Markey (D-MA),Edward,Markey,D,MA,S369,Yea
4,Marshall (R-KS),Roger,Marshall,R,KS,S411,Yea
4,McConnell (R-KY),Mitch,McConnell,R,KY,S174,Yea
4,Menendez (D-NJ),Robert,Menendez,D,NJ,S306,Yea
4,Merkley (D-OR),Jeff,Merkley,D,OR,S322,Yea
4,Moran (R-KS),Jerry,Moran,R,KS,S347,Yea
4,Mullin (R-OK),Markwayne,Mullin,R,OK,S419,Yea
4,Murkowski (R-AK),Lisa,Murkowski,R,AK,S288,Not Voting
4,Murphy (D-CT),Christopher,Murphy,D,CT,S364,Yea
4,Murray (D-WA),Patty,Murray,D,WA,S229,Yea
4,Ossoff (D-GA),Jon,Ossoff,D,GA,S414,Yea
4,Padilla (D-CA),Alex,Padilla,D,CA,S413,Yea
4,Paul (R-KY),Rand,Paul,R,KY,S348,Yea
4,Peters (D-MI),Gary,Peters,D,MI,S380,Yea
4,Reed (D-RI),John,Reed,D,RI,S259,Yea
4,Ricketts (R-NE),Pete,Ricketts,R,NE,S423,Yea
4,Risch (R-ID),James,Risch,R,ID,S323,Yea
4,Romney (R-UT),Mitt,Romney,R,UT,S401,Yea
4,Rosen (D-NV),Jacklyn,Rosen,D,NV,S402,Yea
4,Rounds (R-SD),Mike,Rounds,R,SD,S381,Yea
4,Rubio (R-FL),Marco,Rubio,R,FL,S350,Not Voting
4,Sanders (I-VT),Bernard,Sanders,I,VT,S313,Yea
4,Schatz (D-HI),Brian,Schatz,D,HI,S353,Yea
4,Schmitt (R-MO),Eric,Schmitt,R,MO,S420,Yea
4,Schumer (D-NY),Charles,Schumer,D,NY,S270,Yea
4,Scott (R-FL),Rick,Scott,R,FL,S404,Yea
4,Scott (R-SC),Tim,Scott,R,SC,S365,Yea
4,Shaheen (D-NH),Jeanne,Shaheen,D,NH,S324,Yea
4,Sinema (I-AZ),Kyrsten,Sinema,I,AZ,S403,Yea
4,Smith (D-MN),Tina,Smith,D,MN,S394,Yea
4,Stabenow (D-MI),Debbie,Stabenow,D,MI,S284,Yea
4,Sullivan (R-AK),Dan,Sullivan,R,AK,S383,Yea
4,Tester (D-MT),Jon,Tester,D,MT,S314,Yea
4,Thune (R-SD),John,Thune,R,SD,S303,Yea
4,Tillis (R-NC),Thomas,Tillis,R,NC,S384,Yea
4,Tuberville (R-AL),Tommy,Tuberville,R,AL,S412,Yea
4,Van Hollen (D-MD),Chris,Van Hollen,D,MD,S390,Yea
4,Vance (R-OH),J.,Vance,R,OH,S421,Yea
4,Warner (D-VA),Mark,Warner,D,VA,S327,Yea
4,Warnock (D-GA),Raphael,Warnock,D,GA,S415,Yea
4,Warren (D-MA),Elizabeth,Warren,D,MA,S366,Yea
4,Welch (D-VT),Peter,Welch,D,VT,S422,Yea
4,Whitehouse (D-RI),Sheldon,Whitehouse,D,RI,S316,Yea
4,Wicker (R-MS),Roger,Wicker,R,MS,S318,Yea
4,Wyden (D-OR),Ron,Wyden,D,OR,S247,Not Voting
4,Young (R-IN),Todd,Young,R,IN,S391,Yea
5,Baldwin (D-WI),Tammy,Baldwin,D,WI,S354,Yea
