Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,OANMX,Oakmark Fund Institutional Class,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,GLIFX,Lazard Global Listed Infrastructure Ptf Insti Sh,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,LBFIX,Clearbridge Select Fd I,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,VWILX,Vanguard International Growth Fund Admiral Share,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,BSBIX,Baird Short Term Bond Fund Institutional Class,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,JSOSX,Jpmorgan Strategic Income Opportunities Fund I C,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,GOBIX,Brandywineglobal - Global Opportunities Bond Fun,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,RPIFX,T. Rowe Price Institutional Floating Rate Fund,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Full),05/02/2023,"$1,001 - $15,000"
Self,DVY,iShares Select Dividend ETF,Sale (Full),05/03/2023,"$1,001 - $15,000"
Spouse,--,Putnam 529 Age-Based GRAD-C,Sale (Partial),03/31/2023,"$15,001 - $50,000"
Spouse,--,Putnam 529 Age-Based GRAD-A,Sale (Partial),09/28/2023,"$1,001 - $15,000"
